RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
37	1	413	324
470	2	271	313
704	3	229	178
904	4	159	172
1254	5	303	183
1487	6	278	231
1870	7	173	382
2070	8	148	396
2337	9	105	420
2520	10	424	461
2804	11	432	456
3070	12	435	453
3220	13	294	103
3420	14	771	484
3537	15	766	443
3703	16	878	439
4036	17	509	82
4370	18	807	100
4537	19	838	110
4870	20	269	418
5087	21	307	415
5287	22	188	176
5520	23	319	172
5804	24	550	458
6087	25	613	424
6253	26	561	129
6404	27	556	172
6720	28	648	181
7170	29	708	440
7420	30	668	296
7720	31	466	449
7887	32	432	449
8370	33	545	564
8887	34	140	483
9220	35	503	550
9787	36	164	543
9937	37	152	572
10187	38	153	570
10737	39	162	590
10820	40	154	572
11704	41	185	340
12072	42	171	159
12506	43	413	472
12772	44	124	533
13222	45	495	582
13422	46	514	582
13605	47	409	586
13772	48	438	538
14006	49	305	537
14473	50	291	590
14639	51	443	148
15072	52	517	399
15256	53	542	183
15722	54	310	157
15889	55	306	170
16006	56	322	599
16239	57	293	612
16522	58	295	559
16722	59	272	540
17006	60	306	554
17256	61	413	551
17539	62	434	544
17956	63	413	562
18139	64	399	576
18306	65	421	557
18472	66	444	560
18739	67	448	563
18856	68	436	573
19006	69	569	107
19189	70	214	64
19372	71	137	57
19539	72	117	64
19689	73	193	67
20089	74	158	453
20522	75	158	151
20806	76	310	172
21072	77	586	178
21239	78	644	179
21389	79	538	177
21639	80	636	462
21955	81	814	439
22188	82	408	440
Duration	22878
