RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
31	1	427	289
381	2	417	442
548	3	406	483
1065	4	662	475
1698	5	826	520
2065	6	814	649
2298	7	806	181
2498	8	807	157
2782	9	784	160
3015	10	808	153
3465	11	820	161
3798	12	811	152
4148	13	780	150
4432	14	782	59
4848	15	837	69
5231	16	875	74
5415	17	838	68
5681	18	879	67
5998	19	788	99
6415	20	846	82
6798	21	872	92
7165	22	874	88
7465	23	817	146
7731	24	796	150
8065	25	814	165
8298	26	812	157
8765	27	200	294
8931	28	157	318
Duration	9493
