RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
14	1	401	511
214	2	425	380
431	3	598	497
631	4	552	384
814	5	543	423
997	6	567	311
1331	7	540	150
1697	8	545	421
1831	9	561	433
2047	10	537	560
2347	11	543	352
2564	12	539	309
3081	13	546	147
3364	14	556	455
3714	15	575	494
3797	16	664	504
3997	17	541	514
4230	18	264	640
4614	19	793	165
4880	20	326	105
5097	21	93	98
5347	22	204	105
5547	23	430	99
5680	24	416	185
5880	25	326	194
6147	26	397	188
6347	27	458	193
6580	28	544	180
6747	29	641	175
7364	30	579	431
7864	31	663	434
8164	32	609	495
8447	33	810	183
8731	34	830	255
8914	35	904	243
9231	36	851	375
9381	37	781	356
9681	38	649	489
Duration	9690
