RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
1558	1	103	488
2323	2	93	485
3098	3	171	525
4900	4	99	460
5250	5	546	230
5401	6	496	223
6153	7	90	462
6756	8	66	464
7158	9	67	453
8444	10	450	197
8899	11	456	163
9034	12	462	189
9455	13	112	492
9849	14	86	487
10003	15		
10771	16	116	486
11196	17		
11679	18	83	483
12179	19	84	480
12975	20	344	607
13176	21	424	235
13812	22	488	216
14264	23	495	204
14567	24	480	221
14900	25	440	217
15035	26	440	232
15751	27	590	310
16684	28	477	200
17167	29	503	242
17651	30	459	195
18840	31	463	156
18928	32	476	169
22221	34	442	128
23556	35	582	580
24424	36	399	139
25903	38	574	557
Duration	27437
