RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
61	1	418	183
320	2	397	149
620	3	187	134
754	4	117	142
970	5	588	153
1120	6	625	157
1470	7	684	285
1868	8	688	414
2270	9	693	397
2493	10	684	470
2699	11	680	508
2861	12	635	396
3095	13	625	289
3229	14	604	233
3463	15	682	313
3713	16	672	346
3930	17	688	507
4143	18	687	540
4473	19	625	465
4637	20	783	264
4838	21	901	312
4984	22	854	143
5552	23	295	368
5954	24	818	106
6265	25	593	175
6502	26	847	144
6888	27	647	216
7089	28	598	162
7254	29	656	288
8883	30	690	419
9030	31	701	546
11226	32	216	96
11438	33	598	232
11931	34	685	415
12036	35	668	317
Duration	12111
