RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
311	1	372	183
428	2	168	148
694	3	699	296
978	4	633	564
1261	5	112	259
1547	6	880	246
1697	7	904	265
1897	8	526	263
2147	9	299	283
2531	10	462	456
2681	11	346	596
2914	12	135	631
3131	13	142	610
3364	14	246	334
3614	15	112	242
3730	16	137	258
3813	17	108	260
3963	18	567	286
4180	19	460	109
4347	20	281	110
4563	21	194	123
4730	22	132	128
5230	23	190	256
5447	24	117	261
5847	25	177	161
5980	26	126	106
6280	27	211	91
6480	28	128	119
6763	29	200	159
6947	30	219	128
7163	31	336	125
7497	32	749	87
7713	33	723	89
7930	34	569	104
8213	35	625	106
8397	36	920	106
8547	37	872	87
8831	38	892	82
8964	39	847	114
9331	40	894	114
9647	41	199	69
9814	42	107	84
10314	43	203	90
10530	44	130	86
10697	45	102	84
10964	46	196	87
11297	47	251	86
11797	48	274	87
12114	49	140	123
12347	50	116	90
12814	51	119	114
13064	52	150	209
13314	53	133	173
13514	54	103	165
13680	55	117	264
13897	56	216	263
14113	57	519	273
14313	58	621	251
14580	59	912	222
14814	60	653	259
15064	61	457	103
15264	62	204	35
15498	63	92	21
15647	64	140	39
15747	65	202	44
16030	66	260	44
16330	67	360	42
16797	68	415	36
17080	69	96	280
17397	70	777	275
17564	71	640	247
18330	72	614	617
18630	73	158	605
18814	74	139	613
18997	75	603	599
19247	76	629	250
20197	77	140	266
20314	78	111	268
20480	79	609	261
21030	80	563	218
21347	81	532	612
21797	82	618	614
21980	83	533	614
22213	84	560	203
22480	85	503	76
Duration	22632
