RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
108	1	586	60
341	2	257	286
525	3	197	321
691	4	279	411
1408	5	234	669
2042	6	104	493
2292	7	68	454
2642	8	105	466
2758	9	133	464
3308	10	44	282
3675	11	513	661
4042	12	395	646
4208	13		
4359	14	496	673
4725	15	540	642
4875	16	612	686
5058	17	653	691
5292	18	723	611
5442	19	682	670
5642	20	809	647
5858	21	729	692
6142	22	832	384
6575	23	329	409
6675	24	241	401
6925	25	325	498
7125	26	342	498
7308	27	347	534
7642	28	288	425
7775	29	303	393
8125	30	325	143
8858	31	288	429
9008	32	731	670
9242	33	764	675
9458	34	701	698
9775	35	228	643
9958	36	313	386
Duration	10016
