RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
15	1	340	419
298	2	276	495
448	3	200	477
865	4	88	581
1065	5	148	809
1382	6	15	396
1732	7	29	506
2032	8	50	206
2348	9	46	166
2498	10	99	150
2832	11	22	166
3281	12	15	505
3598	13	229	488
3732	14	194	454
4098	15	275	505
4282	16	201	610
4598	17	221	831
4848	18	147	835
5032	19	399	625
5181	20	345	521
5382	21	304	499
5615	22	375	512
6065	23	512	517
6182	24	36	551
6415	25		
6682	26		
7815	28	7	586
8015	29	247	522
8231	30	305	494
8648	31	266	481
9282	32	192	451
9552	33	175	400
9735	34	132	572
9935	35	194	639
10118	36	203	582
10502	37	206	612
10918	38	545	381
11201	39	545	342
11335	40	98	580
12401	41	119	589
12802	42	91	569
12985	43	175	625
13318	44	104	588
13585	45	208	590
16218	46	202	614
16718	47	205	635
17185	48	196	661
17568	49	187	594
17785	50	171	581
18085	51	177	612
18535	52	179	595
19435	53	178	625
19785	54	179	653
20201	55	179	693
21751	56	175	723
22368	57	162	823
22535	58	182	798
22985	59	190	559
23185	60	201	580
23501	61	200	619
23851	62	193	644
24035	63	200	609
25734	64	198	648
26084	65	195	679
26484	66	178	646
26634	67	179	596
27384	68	177	560
27851	69	198	471
28151	70	182	576
28584	71	181	720
28768	72	179	794
28884	73	283	551
29101	74	266	581
29418	75	278	621
29601	76	167	691
29701	77	155	595
29851	78	176	574
30051	79	200	670
30718	80	176	594
31634	81	181	623
31918	82	181	664
33674	84	71	485
34178	85	172	659
34661	86	182	687
35294	87	183	716
35528	88	202	579
36128	89	203	642
36778	90	194	669
37144	91	172	617
37478	92	179	585
37944	93	177	620
38094	94	180	577
38428	95	183	618
39211	96	201	595
39694	97	204	620
39861	98	199	687
40244	99	195	665
40661	100	185	560
40844	101	183	588
41061	102	178	618
41678	103	96	342
42277	104	91	520
42411	105	96	567
42761	106	550	340
43128	107	245	610
43661	108	72	581
43928	109	10	573
44194	110	93	574
Duration	45034
