RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
7	1	516	89
291	2	208	57
424	3	169	124
624	4	537	386
924	5	674	349
1157	6	797	341
1357	7	816	456
1574	8	777	76
1824	9	450	88
2040	10	790	94
2357	11	910	72
3340	12	808	106
3607	13	829	98
4207	14	803	112
4946	15	898	97
6112	16	808	109
6429	17	900	92
6596	18	877	107
6745	19	789	113
6962	20	819	108
7429	21	772	126
7712	22	822	118
8679	23	904	92
10112	24	724	200
10279	25	866	87
10479	26	891	100
11116	27	825	93
11220	28	881	99
11487	29	616	435
11720	30	583	495
12087	31	564	486
12253	32	536	504
12637	33	154	572
12887	34	562	476
13120	35	639	474
13303	36	835	455
13520	37	89	553
13703	38	90	533
Duration	13767
