RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
1	1	185	421
301	2	133	423
484	3	37	419
651	4	22	399
834	5	63	86
984	6	65	42
1117	7	46	13
1317	8		
1751	9	156	120
2068	10	90	139
2268	11	45	50
2668	12	94	60
2968	13	232	25
3535	14	146	141
3701	15	258	48
3901	16	228	41
4035	17	242	29
4468	18	225	37
4651	19	125	159
5018	20	95	115
5368	21	102	335
5701	22	107	459
5968	23	107	605
6268	24	112	749
6518	25	105	832
6884	26	114	893
7068	27	105	934
7268	28	101	794
7584	29	105	667
7768	30	102	545
8068	31	104	425
8301	32	104	370
8601	33	107	301
9101	34	109	246
9284	35	109	118
10151	36	108	470
10534	37	110	688
10768	38	119	944
11018	39	110	834
11251	40	109	811
11668	41	117	630
11784	42	119	459
12018	43	104	406
12134	44	114	353
12451	45	111	109
12684	46	33	121
13434	47	48	165
13484	48	26	118
14317	49	23	127
Duration	14987
