RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
114	1	404	61
331	2	488	265
566	3	759	269
816	4	891	352
1049	5	481	222
1183	6	405	222
1383	7	436	223
1616	8	588	233
1816	9	560	228
2016	10	617	223
2451	11	563	233
2720	12	389	223
3187	13	791	275
3486	14	859	556
3603	15	796	651
3720	16	753	620
3870	17	611	617
4070	18	470	621
4303	19	386	613
4453	20	464	458
4586	21	475	367
5153	22	385	341
5337	23	40	325
5519	24	77	348
5970	25	436	356
6170	26	490	351
6924	27	488	349
7227	28	439	306
7394	29	189	150
7561	30	156	106
7777	31	337	92
8011	32	270	95
8227	33	477	91
8527	34	644	76
8677	35	813	78
8811	36	773	100
9012	37	624	103
9278	38	761	101
9378	39	824	99
9678	40	569	117
10012	41	648	112
10228	42	673	112
10428	43	638	117
10595	44	804	101
10728	45	777	111
11045	46	836	111
11278	47	767	111
11528	48	836	109
11762	49	511	227
11912	50	510	308
12631	51	573	108
13032	52	423	333
13540	53	180	378
13742	54	53	346
13893	55	487	346
14661	56	86	339
14828	57	73	345
14996	58	34	311
15197	59	495	352
15398	60	480	341
15731	61	490	607
16468	62	437	378
Duration	16523
