RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
8	1	168	385
449	2	212	322
1061	3	742	111
1398	4	672	136
1550	5	748	114
1669	6	647	162
1802	7	647	229
2219	8	682	221
2769	9	426	312
2886	10	259	258
3036	11	528	325
3186	12	511	308
3436	13	117	241
3619	14	101	274
3854	15	90	316
4021	16	87	347
4271	17	94	375
4437	18	99	346
4721	19	497	356
4871	20	557	353
5271	21	700	360
5588	22	685	379
5772	23	704	370
6022	24	668	362
6371	25	545	347
6505	26	520	349
7022	27	595	246
7188	28	556	231
7355	29	474	235
7671	30	140	125
7805	31	101	120
7989	32	172	113
8405	33	200	116
8539	34	248	123
8839	35	738	334
8939	36	709	352
9390	37	88	295
9675	38	90	342
9841	39	535	348
Duration	9901
