# start_x	start_y	duration
884	620	0.550000
553	884	0.185000
820	283	0.280000
873	534	0.215000
864	935	0.245000
773	320	0.280000
807	304	0.280000
785	596	0.245000
851	869	0.280000
320	975	0.550000
206	69	0.550000
853	549	0.245000
421	314	0.375000
468	228	0.280000
473	296	0.185000
503	935	0.550000
390	575	0.125000
542	794	0.550000
301	465	0.245000
220	175	0.125000
593	255	0.185000
760	193	0.325000
793	804	0.550000
709	612	0.325000
443	800	0.185000
526	890	0.550000
312	773	0.375000
164	867	0.245000
375	822	0.550000
