# start_x	start_y	duration
293	291	0.185000
350	233	0.125000
517	131	0.185000
671	144	0.215000
510	421	0.550000
921	328	0.550000
667	280	0.125000
337	241	0.125000
112	121	0.550000
125	86	0.215000
567	148	0.245000
165	259	0.185000
48	428	0.125000
107	246	0.185000
298	214	0.550000
37	207	0.550000
168	165	0.185000
671	357	0.125000
906	216	0.550000
653	327	0.125000
328	460	0.245000
640	444	0.450000
860	493	0.215000
628	504	0.550000
131	372	0.185000
368	188	0.215000
200	294	0.185000
593	203	0.550000
306	438	0.375000
462	167	0.245000
