# start_x	start_y	duration
204	78	0.550000
270	162	0.125000
754	254	0.325000
920	233	0.325000
887	191	0.550000
801	287	0.185000
846	490	0.550000
757	490	0.125000
412	232	0.185000
367	203	0.215000
434	334	0.185000
376	491	0.125000
646	445	0.550000
314	461	0.090000
303	339	0.600000
560	270	0.550000
609	346	0.550000
818	226	0.325000
590	203	0.125000
115	180	0.125000
314	165	0.375000
348	379	0.550000
421	225	0.125000
653	167	0.185000
942	253	0.245000
910	461	0.325000
725	400	0.280000
928	241	0.280000
720	232	0.185000
