# start_x	start_y	duration
762	257	0.550000
103	136	0.375000
110	86	0.280000
228	99	0.185000
221	57	0.450000
923	409	0.550000
946	467	0.125000
906	291	0.215000
946	269	0.215000
879	319	0.550000
896	459	0.215000
954	175	0.280000
503	122	0.245000
615	160	0.185000
790	140	0.550000
865	343	0.325000
703	385	0.125000
853	532	0.245000
943	153	0.185000
957	142	0.185000
87	119	0.125000
501	142	0.325000
270	64	0.215000
76	49	0.185000
96	118	0.550000
734	202	0.215000
837	474	0.280000
526	149	0.185000
634	225	0.245000
276	384	0.185000
373	559	0.215000
