# start_x	start_y	duration
448	285	0.450000
560	161	0.550000
587	252	0.185000
142	75	0.125000
128	80	0.550000
596	218	0.185000
812	283	0.550000
831	208	0.215000
956	149	0.325000
771	166	0.550000
717	178	0.185000
762	230	0.550000
89	404	0.090000
23	415	0.550000
235	368	0.185000
192	203	0.185000
121	375	0.215000
126	281	0.185000
170	423	0.215000
504	244	0.450000
600	417	0.245000
612	316	0.185000
967	243	0.125000
482	138	0.245000
340	208	0.245000
64	66	0.125000
84	367	0.125000
112	261	0.215000
304	200	0.245000
