# start_x	start_y	duration
71	110	0.280000
282	169	0.125000
248	226	0.215000
79	367	0.280000
64	179	0.375000
278	74	0.215000
439	161	0.550000
90	84	0.245000
285	61	0.215000
809	483	0.850000
726	261	0.550000
840	351	0.550000
768	404	0.550000
953	216	0.185000
218	375	0.325000
282	434	0.550000
373	78	0.550000
181	160	0.280000
206	317	0.325000
190	207	0.375000
617	260	0.215000
976	477	0.280000
723	429	0.550000
628	257	0.185000
451	145	0.215000
398	164	0.375000
28	412	0.280000
87	369	0.185000
445	454	0.280000
