x	y	id	label	task_id
265	369	6	A	0
276	813	6	A	0
364	67	4	T	0
276	61	4	T	0
121	730	6	A	0
198	883	6	A	1
1	894	0	Z	0
162	578	6	A	0
24	452	6	A	0
190	925	6	A	0
991	215	0	Z	0
938	239	7	M	0
507	162	7	M	0
925	162	7	M	0
528	201	7	M	0
500	193	7	M	0
51	160	6	A	2
388	182	6	A	0
509	148	0	Z	0
515	157	7	M	0
536	163	7	M	0
567	181	7	M	0
508	158	7	M	0
270	149	6	A	0
503	159	7	M	0
535	171	7	M	0
518	151	0	Z	0
369	193	6	A	0
545	152	7	M	0
532	177	7	M	0
575	184	7	M	0
283	162	6	A	2
534	181	7	M	0
508	178	7	M	0
520	185	7	M	0
587	192	7	M	0
518	180	7	M	0
544	173	7	M	0
530	154	7	M	0
526	166	7	M	0
533	150	0	Z	0
548	173	7	M	0
274	147	6	A	0
522	187	7	M	0
528	147	6	A	0
509	154	7	M	0
503	161	7	M	0
536	179	7	M	0
284	157	6	A	0
520	155	7	M	0
