# start_x	start_y	duration
885	304	0.280000
935	151	0.280000
842	218	0.280000
915	421	0.550000
820	314	0.215000
928	377	0.125000
350	441	0.245000
215	177	0.245000
90	326	0.185000
192	180	0.215000
100	416	0.245000
357	295	0.185000
282	87	0.245000
139	113	0.185000
106	110	0.245000
235	148	0.550000
392	190	0.450000
185	458	0.185000
204	428	0.600000
932	337	0.550000
723	363	0.215000
923	247	0.325000
965	336	0.325000
876	370	0.185000
968	287	0.185000
865	381	0.185000
567	224	0.185000
710	416	0.185000
