# start_x	start_y	duration
578	112	0.550000
590	70	0.185000
210	53	0.185000
276	72	0.185000
235	51	0.215000
626	65	0.245000
821	201	0.125000
546	65	0.280000
742	181	0.090000
828	273	0.280000
534	233	0.375000
259	65	0.215000
276	21	0.550000
407	36	0.550000
564	310	0.550000
293	151	0.185000
187	120	0.185000
571	80	0.090000
493	53	0.280000
607	262	0.125000
754	474	0.550000
737	446	0.550000
557	627	0.550000
471	725	0.125000
179	729	0.245000
281	670	0.550000
675	329	0.185000
660	227	0.245000
743	17	0.185000
