# start_x	start_y	duration
456	407	0.450000
359	438	0.375000
489	86	0.090000
709	258	0.185000
568	91	0.550000
320	36	0.215000
707	438	0.185000
845	509	0.245000
606	271	0.245000
796	333	0.215000
493	325	0.550000
609	181	0.550000
589	95	0.550000
637	13	0.215000
375	193	0.215000
481	89	0.185000
259	80	0.550000
367	114	0.375000
368	534	0.245000
187	878	0.125000
150	518	0.450000
142	614	0.245000
260	421	0.245000
176	582	0.185000
740	639	0.215000
754	670	0.325000
643	103	0.325000
545	740	0.215000
760	262	0.185000
