# start_x	start_y	duration
362	279	0.125000
423	321	0.185000
795	268	0.280000
887	235	0.550000
445	74	0.185000
545	57	0.125000
176	22	0.280000
325	105	0.450000
518	36	0.550000
607	220	0.185000
493	42	0.325000
551	97	0.185000
650	287	0.550000
332	47	0.550000
245	95	0.550000
200	44	0.280000
193	93	0.185000
737	411	0.215000
489	174	0.125000
585	105	0.185000
556	509	0.280000
275	361	0.325000
142	195	0.185000
148	308	0.185000
540	153	0.090000
301	116	0.550000
301	166	0.215000
368	95	0.215000
637	492	0.550000
356	754	0.550000
