# start_x	start_y	duration
618	499	0.550000
934	373	0.215000
210	446	0.550000
121	456	0.185000
110	452	0.550000
151	109	0.550000
132	80	0.185000
301	163	0.185000
220	274	0.125000
93	385	0.280000
48	474	0.550000
81	475	0.215000
307	498	0.600000
112	499	0.090000
121	487	0.090000
123	401	0.550000
151	495	0.450000
90	436	0.185000
164	495	0.550000
139	525	0.185000
59	469	0.215000
159	439	0.125000
56	470	0.125000
184	358	0.090000
109	444	0.550000
306	409	0.245000
126	494	0.125000
39	494	0.185000
503	269	0.185000
