x	y	id	label	task_id
42	87	4	T	0
172	67	4	T	1
392	75	5	L	0
92	0	0	Z	0
523	39	5	L	0
57	772	6	A	0
195	777	7	M	0
162	465	7	M	0
82	777	6	A	0
152	771	6	A	0
340	421	7	M	0
389	511	7	M	0
634	532	7	M	0
615	561	7	M	0
612	166	7	M	2
182	145	6	A	0
288	99	4	T	0
155	407	0	Z	0
290	417	7	M	0
207	179	7	M	0
64	741	6	A	1
85	763	6	A	0
62	768	6	A	0
58	773	6	A	0
71	746	6	A	1
619	160	7	M	2
600	148	0	Z	0
642	143	6	A	0
680	141	6	A	0
607	176	7	M	2
93	739	6	A	0
64	776	6	A	0
87	771	6	A	0
73	738	6	A	1
64	742	6	A	1
294	153	7	M	0
501	255	7	M	0
281	111	6	A	0
260	570	7	M	0
255	151	0	Z	0
291	180	7	M	0
254	167	7	M	0
306	146	6	A	0
535	236	7	M	0
261	150	0	Z	0
95	752	6	A	0
120	764	6	A	0
87	738	6	A	1
147	742	6	A	0
66	769	6	A	0
164	155	7	M	0
265	149	0	Z	0
181	682	7	M	0
521	149	0	Z	0
279	154	7	M	0
268	163	7	M	0
538	392	7	M	0
258	159	7	M	0
158	306	7	M	0
285	154	7	M	0
59	760	6	A	0
82	746	6	A	1
85	780	6	A	0
67	756	6	A	1
71	761	6	A	0
71	168	6	A	2
82	739	6	A	1
84	749	6	A	1
90	758	6	A	0
53	741	6	A	1
92	756	6	A	0
83	773	6	A	0
68	738	6	A	1
85	757	6	A	1
86	744	6	A	1
254	178	7	M	0
276	182	7	M	0
280	147	0	Z	0
298	162	7	M	0
286	172	7	M	0
