# start_x	start_y	duration
709	403	0.550000
601	369	0.245000
465	202	0.280000
98	114	0.215000
637	323	0.325000
576	328	0.125000
807	316	0.550000
723	233	0.450000
839	349	0.125000
465	190	0.325000
670	444	0.550000
665	227	0.550000
610	195	0.185000
389	150	0.550000
690	117	0.215000
673	212	0.185000
765	305	0.185000
612	180	0.215000
582	456	0.550000
381	270	0.125000
564	326	0.550000
531	331	0.215000
421	527	0.185000
557	486	0.185000
831	501	0.325000
950	403	0.125000
625	343	0.550000
128	165	0.550000
260	114	0.215000
143	568	0.550000
