# start_x	start_y	duration
460	273	0.185000
351	221	0.280000
198	217	0.125000
632	214	0.450000
556	362	0.245000
82	432	0.550000
301	353	0.185000
381	343	0.125000
429	198	0.215000
271	133	0.125000
218	386	0.280000
210	119	0.375000
160	84	0.375000
618	372	0.550000
145	269	0.550000
379	274	0.090000
631	159	0.600000
701	239	0.325000
310	307	0.215000
564	370	0.550000
695	161	0.550000
714	235	0.550000
754	239	0.185000
921	434	0.280000
628	231	0.600000
81	107	0.245000
321	351	0.245000
303	574	0.215000
862	575	0.245000
870	460	0.125000
529	421	0.185000
384	486	0.185000
