# start_x	start_y	duration
489	485	0.215000
478	470	0.125000
218	450	0.280000
317	539	0.215000
209	170	0.850000
712	172	0.125000
704	347	0.215000
739	281	0.125000
700	583	0.125000
501	512	0.245000
418	254	0.245000
262	56	0.375000
498	462	0.280000
668	391	0.550000
264	693	0.125000
343	841	0.215000
215	177	0.550000
401	568	0.125000
635	704	0.215000
462	562	0.125000
665	250	0.215000
295	389	0.185000
479	235	0.215000
706	185	0.215000
778	345	0.280000
232	322	0.185000
357	464	0.245000
564	695	0.550000
