# start_x	start_y	duration
228	504	0.280000
189	364	0.550000
198	72	0.600000
283	114	0.185000
228	500	0.550000
182	77	0.090000
229	116	0.215000
327	156	0.325000
316	120	0.125000
219	358	0.215000
278	131	0.245000
238	452	0.550000
283	164	0.280000
336	79	0.550000
314	420	0.215000
320	568	0.550000
261	527	0.550000
256	797	0.280000
326	387	0.280000
311	462	0.245000
174	925	0.550000
245	345	0.215000
316	520	0.375000
190	116	0.125000
273	202	0.125000
282	564	0.325000
310	402	0.600000
279	62	0.185000
232	206	0.185000
238	583	0.245000
250	331	0.090000
