x	y	id	label	task_id
97	239	6	A	2
87	9	4	T	0
12	830	6	A	0
78	856	6	A	0
90	549	6	A	0
504	181	7	M	0
791	139	6	A	0
537	191	7	M	0
911	153	0	Z	0
534	190	7	M	0
546	150	6	A	0
538	176	7	M	0
521	156	6	A	0
526	155	6	A	0
545	164	0	Z	0
504	170	7	M	0
625	176	7	M	0
523	180	7	M	0
617	166	7	M	0
509	173	7	M	0
511	148	6	A	0
788	189	7	M	2
339	186	7	M	0
509	170	7	M	0
946	161	0	Z	0
465	177	7	M	0
943	147	0	Z	0
548	152	6	A	0
932	182	7	M	0
519	169	7	M	0
644	219	7	M	0
669	200	7	M	0
685	179	7	M	0
619	192	7	M	0
679	171	7	M	0
12	236	6	A	0
66	157	6	A	0
298	168	0	Z	0
122	231	6	A	2
261	116	4	T	0
107	148	6	A	0
255	107	4	T	0
113	192	6	A	2
278	124	0	Z	0
122	432	6	A	0
85	182	6	A	2
256	183	7	M	0
61	242	6	A	2
278	162	6	A	0
118	227	6	A	2
