# start_x	start_y	duration
415	468	0.280000
502	127	0.325000
461	362	0.245000
454	722	0.215000
395	370	0.550000
249	108	0.550000
371	291	0.215000
194	239	0.325000
377	120	0.125000
550	272	0.245000
576	810	0.215000
715	664	0.550000
458	320	0.450000
690	72	0.280000
414	181	0.125000
367	504	0.185000
370	247	0.185000
312	395	0.550000
286	60	0.185000
627	320	0.125000
468	662	0.125000
618	252	0.280000
659	272	0.185000
648	777	0.125000
703	339	0.280000
710	587	0.280000
652	658	0.245000
566	341	0.215000
