# start_x	start_y	duration
446	441	0.325000
205	152	0.245000
549	412	0.185000
408	452	0.125000
499	152	0.550000
597	172	0.280000
349	406	0.550000
475	579	0.185000
398	150	0.185000
299	112	0.550000
371	416	0.125000
279	12	0.550000
222	239	0.375000
366	112	0.125000
151	514	0.215000
249	512	0.215000
543	141	0.125000
238	708	0.185000
554	858	0.325000
486	366	0.125000
726	756	0.125000
713	368	0.550000
400	104	0.185000
710	943	0.450000
377	841	0.550000
306	627	0.090000
479	991	0.215000
427	545	0.185000
533	210	0.325000
551	520	0.215000
