x	y	id	label	task_id
180	45	4	T	0
361	6	4	T	0
30	70	4	T	2
55	54	4	T	2
375	77	4	T	0
249	740	6	A	0
176	930	6	A	0
16	902	6	A	0
111	620	6	A	0
74	901	6	A	0
385	164	6	A	0
392	157	6	A	0
609	243	7	M	0
503	166	7	M	0
638	586	7	M	0
14	452	6	A	0
462	148	0	Z	0
16	806	6	A	0
28	785	6	A	0
45	795	6	A	0
525	183	7	M	0
793	235	7	M	0
767	158	7	M	0
395	194	6	A	0
537	167	7	M	0
453	750	7	M	0
472	181	7	M	0
601	152	7	M	0
908	153	0	Z	0
454	540	7	M	0
471	182	7	M	0
643	191	7	M	0
479	757	7	M	0
482	158	7	M	0
634	188	7	M	0
791	189	7	M	0
510	149	0	Z	0
501	150	0	Z	0
604	226	7	M	0
637	179	7	M	0
475	194	7	M	0
636	160	7	M	0
456	745	7	M	0
496	179	7	M	0
616	183	7	M	0
536	156	7	M	0
508	213	7	M	0
501	203	7	M	0
506	186	7	M	0
546	185	7	M	0
612	159	7	M	0
485	817	7	M	0
480	806	7	M	0
463	798	7	M	0
460	802	7	M	0
541	172	7	M	0
511	577	7	M	0
636	149	0	Z	0
508	445	7	M	0
547	232	7	M	0
795	160	7	M	2
503	553	7	M	0
542	158	7	M	0
543	162	7	M	0
641	557	7	M	0
524	151	0	Z	0
502	556	7	M	0
503	181	7	M	0
532	461	7	M	0
509	162	7	M	0
