# start_x	start_y	duration
296	189	0.215000
434	504	0.125000
606	664	0.280000
329	37	0.850000
245	114	0.185000
165	952	0.125000
312	520	0.550000
522	143	0.185000
352	102	0.185000
418	502	0.215000
530	879	0.550000
441	214	0.215000
307	127	0.375000
453	739	0.550000
345	14	0.185000
545	443	0.550000
250	70	0.185000
380	0	0.550000
165	72	0.600000
371	52	0.550000
231	45	0.125000
456	564	0.245000
587	297	0.280000
438	389	0.125000
734	572	0.550000
429	920	0.550000
767	143	0.550000
595	66	0.550000
719	614	0.185000
