# start_x	start_y	duration
444	320	0.185000
466	437	0.550000
270	12	0.125000
130	0	0.325000
197	20	0.125000
361	20	0.550000
310	360	0.185000
470	379	0.550000
456	527	0.185000
402	681	0.185000
261	768	0.550000
125	52	0.280000
254	272	0.245000
217	406	0.245000
191	472	0.550000
182	537	0.125000
745	691	0.215000
817	8	0.245000
427	135	0.550000
735	152	0.280000
424	404	0.215000
214	12	0.550000
263	583	0.550000
283	229	0.550000
538	212	0.185000
639	77	0.550000
549	391	0.215000
694	175	0.550000
710	16	0.245000
570	500	0.215000
589	335	0.125000
