# start_x	start_y	duration
444	502	0.215000
443	177	0.375000
365	122	0.550000
703	139	0.375000
386	104	0.215000
169	445	0.280000
470	506	0.185000
428	89	0.185000
245	418	0.550000
260	818	0.125000
194	920	0.325000
206	950	0.325000
504	877	0.325000
596	962	0.185000
470	841	0.245000
311	158	0.185000
226	81	0.450000
286	712	0.550000
330	960	0.215000
596	945	0.325000
533	452	0.280000
767	683	0.325000
529	579	0.185000
418	470	0.215000
399	768	0.280000
788	937	0.550000
763	437	0.280000
731	150	0.450000
630	385	0.185000
