x	y	id	label	task_id
500	490	7	M	0
257	142	6	A	0
104	62	4	T	1
335	75	4	T	0
367	112	0	Z	0
335	40	4	T	0
207	33	4	T	0
129	352	6	A	0
289	479	6	A	0
131	248	6	A	0
127	30	4	T	0
205	26	4	T	0
113	15	4	T	0
145	90	4	T	0
105	53	4	T	0
86	89	4	T	0
114	85	4	T	0
133	104	0	Z	0
203	93	4	T	0
129	65	4	T	1
231	66	4	T	2
142	49	4	T	0
173	86	4	T	0
111	107	0	Z	0
180	75	4	T	2
130	112	0	Z	0
206	183	6	A	2
158	145	6	A	0
154	40	4	T	0
221	71	4	T	2
117	127	6	A	0
163	127	6	A	0
140	146	6	A	0
166	469	6	A	0
287	874	6	A	0
783	907	7	M	0
900	488	7	M	0
919	266	7	M	0
116	733	6	A	0
167	871	6	A	1
812	939	7	M	0
876	932	7	M	0
760	907	7	M	0
222	823	6	A	0
110	25	4	T	0
385	149	6	A	0
831	914	7	M	0
828	978	0	Z	0
997	422	0	Z	0
309	275	6	A	0
284	230	6	A	0
417	246	6	A	0
67	68	4	T	1
157	3	4	T	0
123	35	4	T	0
581	42	0	Z	0
125	0	0	Z	0
160	539	6	A	0
226	603	6	A	0
476	583	7	M	0
826	968	0	Z	0
859	848	7	M	0
274	861	6	A	0
323	833	6	A	0
81	6	4	T	0
220	56	4	T	2
804	899	7	M	0
133	401	6	A	0
200	0	0	Z	0
160	30	4	T	0
912	193	7	M	0
906	262	7	M	0
974	255	0	Z	0
592	201	7	M	0
257	75	4	T	0
305	201	6	A	0
52	20	4	T	0
384	455	6	A	0
369	487	6	A	0
365	484	6	A	0
597	178	7	M	0
370	460	6	A	0
294	798	6	A	0
834	954	0	Z	0
896	898	7	M	0
557	923	7	M	0
295	16	4	T	0
93	70	4	T	1
141	3	4	T	0
80	5	4	T	0
158	1	0	Z	0
42	19	4	T	0
104	21	4	T	0
39	5	4	T	0
166	6	4	T	0
72	39	4	T	0
130	15	4	T	0
55	71	4	T	1
140	1	0	Z	0
301	5	4	T	0
163	11	4	T	0
