# start_x	start_y	duration
110	162	0.325000
226	311	0.215000
306	101	0.325000
462	209	0.215000
239	271	0.450000
590	305	0.215000
526	189	0.550000
379	80	0.245000
926	106	0.215000
957	301	0.215000
501	188	0.280000
615	432	0.450000
907	347	0.090000
751	401	0.215000
984	196	0.125000
851	483	0.550000
725	447	0.550000
901	506	0.550000
862	107	0.245000
281	198	0.245000
128	520	0.280000
375	236	0.090000
200	185	0.185000
176	216	0.245000
468	489	0.215000
384	514	0.125000
693	343	0.550000
279	621	0.125000
451	468	0.280000
