# start_x	start_y	duration
810	130	0.550000
471	82	0.215000
557	82	0.375000
357	233	0.550000
234	76	0.185000
618	366	0.325000
437	387	0.125000
453	602	0.215000
521	268	0.125000
451	236	0.550000
710	316	0.280000
428	328	0.185000
643	247	0.185000
878	159	0.215000
507	234	0.090000
710	120	0.185000
785	77	0.125000
592	103	0.550000
125	198	0.325000
89	66	0.125000
35	257	0.550000
114	574	0.185000
160	256	0.215000
396	217	0.215000
720	345	0.185000
728	621	0.325000
462	294	0.245000
631	383	0.125000
260	602	0.550000
