# start_x	start_y	duration
509	345	0.125000
510	346	0.185000
900	404	0.245000
848	441	0.245000
478	62	0.215000
579	183	0.375000
403	83	0.550000
796	91	0.550000
946	237	0.185000
923	247	0.550000
839	506	0.280000
403	480	0.280000
314	373	0.550000
93	128	0.600000
200	489	0.245000
129	359	0.325000
281	171	0.550000
257	557	0.185000
304	275	0.245000
585	164	0.125000
131	32	0.550000
229	140	0.215000
76	465	0.215000
314	571	0.215000
509	230	0.375000
814	99	0.550000
464	256	0.215000
560	137	0.245000
398	240	0.280000
339	277	0.850000
76	169	0.125000
