# start_x	start_y	duration
392	288	0.280000
250	784	0.550000
234	761	0.325000
279	784	0.280000
231	835	0.215000
443	638	0.125000
551	533	0.550000
410	347	0.280000
539	708	0.550000
539	277	0.280000
570	187	0.185000
392	296	0.245000
737	275	0.185000
665	308	0.550000
600	170	0.125000
657	372	0.550000
232	185	0.550000
604	314	0.450000
495	160	0.550000
339	292	0.185000
618	172	0.245000
523	615	0.550000
323	780	0.125000
406	905	0.600000
167	358	0.215000
310	788	0.215000
356	765	0.550000
359	868	0.185000
362	891	0.185000
