x	y	id	label	task_id
185	29	4	T	0
185	58	4	T	1
328	95	4	T	0
526	18	0	Z	0
98	45	4	T	0
792	153	6	A	0
544	192	7	M	0
916	174	7	M	0
544	165	0	Z	0
629	150	6	A	0
451	164	0	Z	0
907	149	0	Z	0
519	188	7	M	0
944	152	0	Z	0
529	185	7	M	0
937	151	0	Z	0
525	150	6	A	0
910	164	0	Z	0
533	160	6	A	0
945	165	7	M	0
928	190	7	M	0
500	150	6	A	0
921	162	0	Z	0
504	178	7	M	0
922	173	7	M	0
556	193	7	M	0
935	174	7	M	0
920	156	0	Z	0
926	165	7	M	0
933	148	0	Z	0
926	176	7	M	0
922	161	0	Z	0
924	188	7	M	0
935	187	7	M	0
941	167	7	M	0
945	163	0	Z	0
913	186	7	M	0
938	148	0	Z	0
932	180	7	M	0
946	158	0	Z	0
925	190	7	M	0
910	186	7	M	0
927	165	7	M	0
942	154	0	Z	0
901	176	7	M	0
926	156	0	Z	0
912	175	7	M	0
942	183	7	M	0
941	191	7	M	0
938	156	0	Z	0
642	166	7	M	0
913	173	7	M	0
611	172	7	M	0
923	161	0	Z	0
636	194	7	M	0
641	193	7	M	0
907	166	7	M	0
644	149	6	A	0
944	146	0	Z	0
646	154	6	A	0
937	183	7	M	0
915	173	7	M	0
936	162	0	Z	0
942	174	7	M	0
939	162	0	Z	0
936	173	7	M	0
921	190	7	M	0
907	165	7	M	0
932	187	7	M	0
949	151	0	Z	0
936	172	7	M	0
947	149	0	Z	0
936	162	0	Z	0
921	152	0	Z	0
940	171	7	M	0
165	1	0	Z	0
170	78	4	T	1
324	68	4	T	0
540	7	0	Z	0
62	27	4	T	0
939	165	7	M	0
634	166	7	M	0
941	170	7	M	0
649	184	7	M	0
902	155	0	Z	0
903	184	7	M	0
947	185	7	M	0
926	163	0	Z	0
915	151	0	Z	0
939	190	7	M	0
194	41	4	T	0
171	63	4	T	1
304	81	4	T	0
537	22	0	Z	0
93	36	4	T	0
183	36	4	T	0
163	82	4	T	0
338	76	4	T	0
512	20	0	Z	0
51	33	4	T	0
