# start_x	start_y	duration
359	591	0.280000
339	168	0.450000
288	322	0.325000
216	79	0.185000
193	45	0.125000
318	45	0.185000
550	231	0.325000
407	281	0.185000
475	345	0.550000
232	170	0.185000
509	222	0.280000
373	254	0.125000
443	139	0.185000
250	229	0.375000
393	268	0.550000
402	556	0.550000
369	543	0.550000
379	210	0.280000
496	433	0.550000
388	677	0.125000
310	525	0.185000
335	116	0.185000
323	164	0.185000
553	329	0.550000
366	310	0.185000
471	375	0.550000
340	472	0.550000
506	458	0.125000
