x	y	id	label	task_id
500	459	7	M	0
776	150	7	M	0
563	58	5	L	3
524	65	5	L	0
217	22	4	T	1
435	25	0	Z	0
558	10	0	Z	0
121	10	4	T	0
194	90	4	T	0
78	27	4	T	1
176	23	4	T	1
592	83	5	L	0
710	101	0	Z	0
176	92	4	T	0
123	63	4	T	1
498	22	0	Z	0
92	102	4	T	0
217	55	4	T	1
317	75	0	Z	0
399	78	5	L	1
16	355	6	A	0
67	271	6	A	0
41	183	6	A	0
269	167	7	M	0
446	114	6	A	0
698	153	7	M	0
902	104	0	Z	0
378	112	6	A	0
449	84	5	L	0
548	58	5	L	0
436	89	5	L	0
229	40	4	T	1
622	442	7	M	0
649	725	7	M	0
793	162	7	M	0
108	887	0	Z	0
113	802	6	A	0
508	694	7	M	0
722	144	6	A	0
623	117	6	A	0
549	32	5	L	0
82	55	4	T	1
163	53	4	T	1
85	64	4	T	1
146	43	4	T	1
91	32	4	T	1
160	107	6	A	0
196	897	0	Z	0
79	484	6	A	0
153	114	6	A	0
164	83	4	T	0
182	32	4	T	1
190	117	6	A	0
289	141	6	A	0
826	150	7	M	0
166	98	4	T	0
28	68	4	T	2
194	74	4	T	1
455	154	7	M	0
625	104	0	Z	0
694	108	6	A	0
736	148	0	Z	0
860	118	6	A	0
134	196	6	A	0
221	130	6	A	0
221	23	4	T	1
431	89	5	L	0
500	58	5	L	1
199	33	4	T	1
565	169	7	M	2
657	39	5	L	0
181	56	4	T	1
127	14	4	T	0
196	20	4	T	0
347	21	0	Z	0
183	35	4	T	1
378	4	0	Z	0
235	61	4	T	0
163	82	4	T	0
207	3	4	T	0
180	883	7	M	0
229	849	7	M	0
83	813	6	A	0
213	904	0	Z	0
117	763	6	A	0
89	46	4	T	1
119	21	4	T	3
126	28	4	T	1
541	52	5	L	0
180	16	4	T	0
98	62	4	T	1
538	76	5	L	0
131	51	4	T	1
521	19	0	Z	0
60	38	4	T	1
520	9	0	Z	0
50	0	0	Z	0
2	422	0	Z	0
173	881	7	M	0
34	351	6	A	0
75	45	4	T	1
