# start_x	start_y	duration
289	91	0.325000
464	154	0.450000
304	74	0.185000
223	86	0.185000
712	166	0.090000
775	127	0.325000
718	180	0.125000
100	94	0.125000
57	111	0.450000
318	92	0.550000
84	292	0.600000
78	108	0.185000
403	141	0.125000
100	94	0.550000
26	111	0.090000
107	151	0.325000
117	94	0.245000
114	94	0.125000
728	113	0.125000
295	83	0.325000
40	122	0.215000
348	284	0.550000
543	67	0.550000
378	59	0.550000
784	119	0.125000
823	252	0.215000
954	115	0.550000
978	326	0.245000
864	87	0.185000
